[15-02-23 22:28:04.070][info] Init chat system....
[15-02-23 22:28:04.070][info] Mode: multiplayer.
[15-02-23 22:28:04.070][info] Chat owner: EL-Mao'.
[16-02-23 00:28:56.058][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:28:56.275][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:28:56.658][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:28:56.858][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:28:57.091][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:28:57.425][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:28:58.591][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:28:58.874][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:28:59.225][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:28:59.675][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:45.941][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:46.092][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:48.308][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:48.441][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:33:48.608][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:33:50.342][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:33:50.475][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:50.624][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:50.758][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:50.925][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:51.091][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:51.291][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:51.458][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:55.108][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:55.291][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:33:55.508][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:57.492][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:33:57.675][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:33:59.832][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:33:59.975][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
