[16-02-23 18:32:44.375][info] Start chat server initialization....
[16-02-23 20:05:39.499][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 20:05:39.737][info] Got message:ChatMessage{chat=Local, author='Trisudar', text='psst'}.
[16-02-23 20:05:39.738][info] Message ChatMessage{chat=Local, author='Trisudar', text='psst'} sent to chat (id = 2) members.
[16-02-23 20:05:39.923][info] Got message:ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[16-02-23 20:05:39.924][info] Message ChatMessage{chat=Local, author='Trisudar', text='hey'} sent to chat (id = 2) members.
[16-02-23 20:05:40.079][info] Got message:ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[16-02-23 20:05:40.080][info] Message ChatMessage{chat=Local, author='Trisudar', text='pssst!'} sent to chat (id = 2) members.
[16-02-23 20:05:40.376][info] Got message:ChatMessage{chat=Local, author='Trisudar', text='psst'}.
[16-02-23 20:05:40.376][info] Message ChatMessage{chat=Local, author='Trisudar', text='psst'} sent to chat (id = 2) members.
[16-02-23 20:05:40.761][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 20:05:40.761][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 20:05:40.873][info] Got message:ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[16-02-23 20:05:40.874][info] Message ChatMessage{chat=Local, author='Trisudar', text='hey'} sent to chat (id = 2) members.
[16-02-23 20:05:40.926][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 20:05:40.927][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[16-02-23 20:05:41.115][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 20:05:41.116][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 20:05:41.272][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 20:05:41.272][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 20:05:41.877][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 20:05:41.878][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 20:05:42.074][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 20:05:42.074][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 20:05:42.261][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 20:05:42.262][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[16-02-23 20:05:43.131][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 20:05:43.131][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 20:05:43.428][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 20:05:43.428][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 20:05:43.630][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
