[15-02-23 16:48:05.521][info] Init chat system....
[15-02-23 16:48:05.521][info] Mode: multiplayer.
[15-02-23 16:48:05.521][info] Chat owner: EL-Mao'.
[15-02-23 17:12:09.390][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:09.809][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.109][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.343][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:10.676][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.777][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.996][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:11.231][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:11.407][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:11.624][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:11.795][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:12.021][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:12.166][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:12.405][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:12.736][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:12.949][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:13.179][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:13.373][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:13.753][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:13.943][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:14.167][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:14.365][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:14.612][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:15.027][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:15.270][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:15.466][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:15.651][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:15.884][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:16.302][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:16.504][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:16.744][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:16.910][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:17.150][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:17.371][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:17.517][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:17.708][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:18.031][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:18.252][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:18.476][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:18.670][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:18.904][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:19.103][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:19.329][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:19.491][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:19.708][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:19.901][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:20.123][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:20.445][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:20.614][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:20.819][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:20.995][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:21.227][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:21.421][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:21.873][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:22.158][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:22.326][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:22.514][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:22.768][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:22.983][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:23.246][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:23.443][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:23.638][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:23.902][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:24.134][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:24.369][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:24.622][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:24.861][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:25.086][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:25.440][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:25.703][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:17:40.176][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:40.976][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:41.061][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:41.243][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:41.409][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:41.559][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:41.742][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:41.909][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:42.092][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:42.225][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:42.394][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:42.492][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:42.592][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:42.792][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:42.959][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:43.143][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:43.292][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
