[15-02-23 17:09:00.488][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'} sent to chat (id = 2) members.
[15-02-23 17:09:01.211][info] Got message:ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 17:09:01.212][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'} sent to chat (id = 2) members.
[15-02-23 17:09:01.446][info] Got message:ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:01.447][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY!'} sent to chat (id = 2) members.
[15-02-23 17:09:01.679][info] Got message:ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:01.679][info] Message ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'} sent to chat (id = 2) members.
[15-02-23 17:09:01.873][info] Got message:ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:01.874][info] Message ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'} sent to chat (id = 2) members.
[15-02-23 17:09:02.067][info] Got message:ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:02.068][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY!'} sent to chat (id = 2) members.
[15-02-23 17:09:02.300][info] Got message:ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:02.301][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY!'} sent to chat (id = 2) members.
[15-02-23 17:09:02.492][info] Got message:ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:02.493][info] Message ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'} sent to chat (id = 2) members.
[15-02-23 17:09:05.291][info] Got message:ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:05.291][info] Message ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'} sent to chat (id = 2) members.
[15-02-23 17:09:06.311][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:09:06.311][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:09:07.177][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:09:07.178][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:09:08.232][info] Got message:ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 17:09:08.233][info] Message ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'} sent to chat (id = 2) members.
[15-02-23 17:09:10.343][info] Got message:ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:10.344][info] Message ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'} sent to chat (id = 2) members.
[15-02-23 17:11:58.155][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:58.155][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:11:58.544][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:11:58.545][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:11:58.694][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:11:58.694][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:11:58.805][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:11:58.806][info] Message ChatMessage{chat=Local, author='Gym Burger', text='psst'} sent to chat (id = 2) members.
[15-02-23 17:11:58.930][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:58.930][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:11:59.040][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.040][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
