[19-02-23 20:00:09.263][info] Init chat system....
[19-02-23 20:00:09.263][info] Mode: multiplayer.
[19-02-23 20:00:09.263][info] Chat owner: Muezza.
[19-02-23 23:00:23.721][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:23.726][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:23.788][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:23.832][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:23.942][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:24.005][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:24.213][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:24.379][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:24.400][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:24.417][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:24.479][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:24.696][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:24.877][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:25.077][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:25.310][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:25.510][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:25.726][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:25.977][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:26.210][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:26.477][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:26.611][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:26.861][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:27.026][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:27.794][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:27.993][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:28.443][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:28.660][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:30.361][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:30.627][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:30.810][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:31.026][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:31.210][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:31.428][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:31.627][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:31.845][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:32.060][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:32.245][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:32.460][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:32.643][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:32.843][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:33.076][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:33.244][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:33.460][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:33.659][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:33.726][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='maximum le'}.
[19-02-23 23:00:33.844][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:37.377][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:37.576][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:37.695][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:37.809][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:37.926][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:38.043][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:38.161][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:38.311][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:50.960][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:52.460][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:52.678][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:01:05.143][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:01:05.276][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:01:05.626][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:01:05.630][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:01:05.743][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:01:05.979][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:01:06.712][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:01:06.913][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:01:08.043][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:01:09.610][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:01:20.626][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:01:20.963][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:01:25.745][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:01:25.960][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:01:28.593][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:01:29.677][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:46.793][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:17:46.911][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:17:47.026][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:47.227][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:47.460][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:47.610][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:47.793][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:47.960][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:48.826][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:49.027][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:49.160][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:17:49.326][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:49.527][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:17:49.761][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:50.360][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:17:50.577][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:17:50.760][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:17:50.976][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
